苏州银兴国际影城(园区店),516254,33.13,31.92
上海左岸国际电影城(松江沃尔玛店),615823,36.96,27.93
深圳博纳国际影城(皇庭店),822583,37.84,40.50
泰州万达国际影城(万达广场店),844955,35.00,33.60
株洲千金影城(中心店),799818,37.57,26.03
南京SFC上影影城(新城市广场店),995956,53.78,27.31
无锡大世界影城(中山路IMAX店),670141,31.08,33.05
北京万达影城(丰台店),655723,22.48,42.55
连云港万达影院(万达广场店),640088,19.10,38.43
武汉璇宫国际影城(江汉路店),764067,30.53,26.84
广州金逸影城(百信店),548763,37.12,40.40
成都星美影商城(大悦城IMAX店),792895,40.51,36.18
上海中影DFC影城(龙阳路店),613360,42.30,33.23
北京保利国际影城(绿地缤纷城店),547372,31.93,38.78
西安大地影院(小寨店),773019,45.08,28.00
杭州翠苑电影大世界,727857,21.24,34.45
上海金谊华夏影城(三林店),527128,37.44,37.03
上海SFC上影影城(百联又一城店),584053,44.34,39.18
苏州万达影城吴中店(IMAX店),618448,27.90,37.67
西安奥斯卡盛龙国际影城(盛龙广场店),603613,27.45,28.63
北京博纳国际影城(顺义店),540512,23.76,40.59
惠州万达国际影城(新天地广场店),673527,47.79,33.75
大连博纳国际影城(亿合城店),893169,44.14,31.60
扬州扬州喜满客国际影城(京华城店),593504,29.34,32.34
东营万达影城(东营万达广场店),524134,31.60,39.75
郑州CGV影城(大卫城IMAX店),662762,41.95,34.42
北京博纳国际影城(万寿路店),548197,39.08,38.86
深圳中影飞尚百誉国际影城,425941,26.67,36.72
北京橙天嘉禾影城(万柳店),428186,33.06,44.35
成都百老汇影城(万象城店),662823,49.33,36.76
长沙万达影城(开福店),629028,27.72,43.86
杭州百老汇影城(万象城店),482276,22.06,63.60
通辽万达影城(万达广场店),501906,23.07,38.63
广元万达影城(东坝万源万达广场店),527436,26.64,30.73
绵阳万达国际影城(长虹店),644338,33.08,30.94
上海保利国际影城(江川店),563314,30.36,40.23
南阳奥斯卡新华影城(新华路店),749994,36.08,24.77
合肥万达影城(天鹅湖店),553064,25.42,39.13
贵阳沃美影城(世纪金源购物中心店),629426,30.23,41.14
余姚万达影城(余姚店),458095,22.74,42.25
上海天山电影院虹桥艺术中心旗舰店,658641,43.25,49.20
南京金逸影城IMAX(光美南京江宁店),688521,38.05,30.62
北京金逸影城(双桥店),632380,32.98,38.22
成都339影城,786596,34.96,30.92
太原山西剧院(VR激光影院),728712,25.12,27.11
长春中影影天下巨幕影城(活力城店),804549,35.19,29.21
三亚中视国际影城IMAX(港湾城店),570855,33.84,41.56
宝鸡首映国际影城,606508,45.15,25.05
南沙万达国际影城(南沙店),518052,23.93,42.64
成都万达国际影城(SM店),767515,37.56,32.58
北京CGV星聚汇影城(顺义店),514348,31.50,41.55
武汉CGV影城(奥山IMAX店),809905,28.93,31.26
桂林万达影城(七星万达广场店),589802,27.30,38.59
太原恒大影城(绿洲店),507808,32.70,36.34
深圳中影国际影城(深圳益田假日广场店),483038,28.73,49.22
苏州苏艺影城(艺术中心店),658417,35.97,39.91
上海太禾影城(浦江店),577677,35.50,33.76
深圳博纳国际影城(龙岗大运店),617864,34.95,40.58
太原金逸影城(北美店),459879,27.47,38.94
重庆万达影城(巴南店),636662,29.80,34.94
上海大光明新国际影城(青浦吾悦店),572352,37.41,38.20
牡丹江万达影城(万达广场店),461881,22.98,39.78
北京大地影院(顺义隆华店),499035,26.01,40.91
淮安万达国际影城(万达广场店),615789,28.22,35.21
湛江中影星美影城IMAX(鼎盛广场店),678210,31.34,36.38
烟台万达影城(芝罘区店),570892,26.75,36.63
北京美嘉欢乐影城(中关村店),549592,32.79,52.66
南京喜满客影城(万谷店),811457,39.63,29.36
重庆华谊兄弟(金源不夜城店),652862,21.73,28.38
吉林万达国际影城(欧亚广场店),472933,20.31,37.66
